year,Source,Target,numberacquisitions
2000,237,332,1
2000,517,519,1
2000,423,562,2
2000,522,525,25
2000,511,236,1
2000,444,423,1
2000,522,522,380
2000,611,561,2
2000,443,451,2
2000,562,324,1
2000,525,445,1
2000,523,424,12
2000,453,448,2
2000,561,518,3
2000,425,561,1
2000,211,211,92
2000,325,512,2
2000,423,511,1
2000,517,424,1
2000,561,423,5
2000,335,332,6
2000,531,236,4
2000,531,812,1
2000,515,517,7
2000,452,531,1
2000,486,493,2
2000,423,525,1
2000,523,335,8
2000,238,332,1
2000,323,339,1
2000,321,444,5
2000,311,424,10
2000,325,335,1
2000,314,325,1
2000,211,221,3
2000,561,115,1
2000,331,323,1
2000,532,237,1
2000,113,326,1
2000,523,621,7
2000,722,531,1
2000,111,423,1
2000,327,423,2
2000,522,336,1
2000,713,532,5
2000,515,531,2
2000,523,238,5
2000,511,325,1
2000,211,517,4
2000,213,211,14
2000,332,541,6
2000,335,335,34
2000,336,238,1
2000,561,327,1
2000,525,522,6
2000,486,211,1
2000,441,441,18
2000,541,339,2
2000,211,445,1
2000,339,325,8
2000,423,924,1
2000,512,454,1
2000,313,424,1
2000,221,236,11
2000,517,335,1
2000,531,453,2
2000,238,334,2
2000,722,721,1
2000,488,453,1
2000,523,522,46
2000,531,334,3
2000,335,331,9
2000,484,492,1
2000,523,622,3
2000,523,483,2
2000,541,424,3
2000,454,454,11
2000,444,531,1
2000,334,454,4
2000,532,211,2
2000,711,721,1
2000,561,334,36
2000,488,481,1
2000,333,423,14
2000,532,441,1
2000,325,561,6
2000,311,323,1
2000,488,561,2
2000,321,424,1
2000,423,322,1
2000,443,333,1
2000,444,321,1
2000,484,561,2
2000,313,313,2
2000,525,453,1
2000,517,532,1
2000,524,722,2
2000,322,326,3
2000,326,322,2
2000,517,515,19
2000,523,488,6
2000,523,713,3
2000,551,332,2
2000,525,423,1
2000,517,531,6
2000,221,926,1
2000,322,424,2
2000,212,212,16
2000,622,524,3
2000,561,524,6
2000,561,212,1
2000,523,451,4
2000,524,334,2
2000,722,311,2
2000,325,441,1
2000,541,711,3
2000,611,721,1
2000,541,325,8
2000,313,423,1
2000,524,325,1
2000,115,111,2
2000,314,523,1
2000,492,541,1
2000,523,212,4
2000,511,454,2
2000,522,541,14
2000,339,488,1
2000,511,115,1
2000,447,447,2
2000,621,312,1
2000,238,722,1
2000,531,523,4
2000,446,424,2
2000,488,321,1
2000,424,453,1
2000,522,611,1
2000,211,324,2
2000,524,314,1
2000,336,336,56
2000,813,221,2
2000,325,454,2
2000,334,331,10
2000,622,523,1
2000,523,446,2
2000,493,327,1
2000,523,339,14
2000,315,334,1
2000,562,482,1
2000,424,115,2
2000,561,813,2
2000,523,722,16
2000,551,314,1
2000,333,333,76
2000,515,561,4
2000,531,237,3
2000,314,313,6
2000,523,491,2
2000,517,236,3
2000,523,444,1
2000,221,517,2
2000,523,312,3
2000,517,561,7
2000,331,326,2
2000,336,333,19
2000,721,532,3
2000,113,113,1
2000,511,518,1
2000,322,311,1
2000,221,334,3
2000,423,212,1
2000,237,212,1
2000,424,112,1
2000,325,446,1
