Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
AAE,,,0.045915,7,7,14,0.904762,0.000158,9,0.291901,0.315988,0.000001,9,9,18,1
ALG,,,0.270714,65,65,130,0.228177,0.001536,9,0.325087,0.361921,0.010418,88,88,176,1
CDG,,,0.960083,233,237,470,0.142381,0.003963,8,0.396408,0.452874,0.061703,517,524,1041,1
IST,,,0.779624,230,227,457,0.112243,0.004412,8,0.377276,0.433861,0.041219,361,358,719,3
LYS,,,0.366778,78,77,155,0.305361,0.001276,9,0.320034,0.356719,0.002792,140,135,275,1
MRS,,,0.361964,85,86,171,0.251984,0.001406,9,0.315107,0.354543,0.003477,129,136,265,1
ORN,,,0.104029,23,23,46,0.394928,0.000512,9,0.297507,0.325851,0.001283,34,34,68,1
ORY,,,0.377227,120,119,239,0.119486,0.002254,8,0.319067,0.362831,0.00968,203,201,404,1
AAL,,,0.092858,13,13,26,0.807692,0.000226,8,0.295476,0.32178,0.000011,21,20,41,1
AAR,,,0.040548,8,8,16,0.642857,0.000165,8,0.270832,0.292548,0.000013,8,8,16,1
AGP,,,0.526041,115,115,230,0.259358,0.001586,8,0.321008,0.365082,0.002393,204,206,410,1
ALC,,,0.381217,96,96,192,0.220724,0.001423,8,0.310415,0.350938,0.002167,157,157,314,1
AMS,,,0.986054,231,232,463,0.146712,0.003658,8,0.389055,0.444911,0.042658,450,453,903,1
ARN,,,0.547583,123,123,246,0.218463,0.002434,8,0.348396,0.39278,0.018858,220,219,439,1
BCN,,,0.731024,163,163,326,0.233053,0.00246,8,0.350894,0.400495,0.010296,392,391,783,1
BLL,,,0.221024,39,39,78,0.412281,0.00058,8,0.304921,0.335973,0.000514,47,47,94,1
CPH,,,0.62844,120,121,241,0.292847,0.001919,7,0.357733,0.400589,0.026612,228,229,457,1
LGW,,,0.650866,165,165,330,0.165447,0.002474,8,0.353724,0.402778,0.01002,352,356,708,1
OSL,,,0.472783,104,104,208,0.250275,0.001903,8,0.330819,0.372739,0.014111,183,180,363,1
PMI,,,0.47176,126,126,252,0.190476,0.001807,8,0.312801,0.356806,0.003667,277,271,548,1
SVG,,,0.175331,35,37,72,0.412913,0.000579,8,0.303305,0.332262,0.00063,52,54,106,1
AAN,,,0.001845,2,2,4,0,0.000081,10,0.22572,0.236524,0,2,2,4,6
