Id,Label,timeset,latitude,longitude,indegree,outdegree,Degree,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
GKA,GKA,,-6.08169,145.391998,4,4,8,1,6,9,0.228779,0.23947,0,8,0.000224
MAG,MAG,,-5.20708,145.789002,7,7,14,0.571429,12,9,0.228829,0.239946,3.666667,8,0.000374
HGU,HGU,,-5.82679,144.296005,9,8,17,0.388889,14,9,0.228862,0.240264,10.5,8,0.000484
LAE,LAE,,-6.569803,146.725977,9,9,18,0.388889,14,9,0.228862,0.240264,10.166667,8,0.000478
POM,POM,,-9.44338,147.220001,32,32,64,0.125,62,8,0.296534,0.320943,73927.680207,8,0.001538
WWK,WWK,,-3.58383,143.669006,4,4,8,0.833333,5,9,0.228779,0.23947,0.333333,8,0.000231
UAK,UAK,,61.1605,-45.425999,5,5,10,0.3,3,9,0.215513,0.223526,12632.342023,0,0.000419
GOH,GOH,,64.190903,-51.678101,8,8,16,0.178571,5,8,0.249505,0.262646,26457.942066,0,0.000596
SFJ,SFJ,,67.012222,-50.711603,7,7,14,0.285714,6,8,0.270493,0.285889,33479.097291,0,0.000486
THU,THU,,76.531197,-68.703201,1,1,2,0,0,12,0.130948,0.132895,0,0,0.000178
AEY,AEY,,65.660004,-18.0727,1,1,2,0,0,10,0.166517,0.170448,0,0,0.000154
EGS,EGS,,65.283302,-14.4014,1,1,2,0,0,10,0.166517,0.170448,0,0,0.000154
IFJ,IFJ,,66.058098,-23.1353,1,1,2,0,0,10,0.166517,0.170448,0,0,0.000154
KEF,KEF,,63.985001,-22.6056,34,32,66,0.486631,273,7,0.33102,0.360445,34404.114109,2,0.000628
RKV,RKV,,64.129997,-21.940599,4,4,8,0,0,9,0.199772,0.206768,9438,0,0.000504
YAM,YAM,,46.485001,-84.509399,4,4,8,0.833333,5,7,0.282915,0.297518,1.762588,22,0.000172
YAY,YAY,,51.391899,-56.083099,3,3,6,0.666667,2,8,0.233479,0.242427,1853.14748,22,0.00019
YBC,YBC,,49.1325,-68.204399,4,4,8,1,6,8,0.261397,0.275749,0,22,0.000167
YBG,YBG,,48.330601,-70.996399,4,4,8,0.8,8,8,0.261549,0.276135,100.311282,22,0.000218
YBK,YBK,,64.298897,-96.077797,3,4,7,0.5,3,9,0.190603,0.196924,1.333333,1,0.000291
YBL,YBL,,49.950802,-125.271004,3,3,6,0.333333,1,8,0.26416,0.276951,1578.81721,9,0.000175
YBR,YBR,,49.91,-99.951897,1,1,2,0,0,8,0.255126,0.266291,0,9,0.000071
YCB,YCB,,69.108101,-105.138001,4,4,8,0.666667,4,9,0.20551,0.212863,2.666667,1,0.000308
YCD,YCD,,49.05497,-123.869863,2,2,4,1,1,8,0.265721,0.278806,0,9,0.000096
YCG,YCG,,49.296398,-117.632004,2,2,4,1,1,8,0.265721,0.278806,0,9,0.000096
YCL,YCL,,47.990799,-66.330299,2,2,4,0,0,8,0.240746,0.251563,1.07832,22,0.000106
YCO,YCO,,67.816704,-115.143997,3,3,6,0.333333,1,9,0.205564,0.212889,4711.166667,1,0.000255
YCY,YCY,,70.486099,-68.516701,2,2,4,0,0,9,0.196603,0.202757,1572.5,1,0.000211
YZS,YZS,,64.193298,-83.359398,4,4,8,0.333333,2,9,0.190615,0.196977,26.139611,1,0.000306
YDF,YDF,,49.2108,-57.391399,5,4,9,0.6,6,7,0.283017,0.297804,1947.128819,9,0.00021
YDQ,YDQ,,55.742298,-120.182999,2,2,4,0,0,8,0.264138,0.276792,680.317056,9,0.00012
YEG,YEG,,53.3097,-113.580002,37,38,75,0.318634,224,7,0.325981,0.351145,33078.069219,9,0.001088
YEK,YEK,,61.0942,-94.070801,3,3,6,0.666667,2,9,0.190592,0.196766,0.5,1,0.000214
YEV,YEV,,68.304199,-133.483002,7,7,14,0.095238,2,10,0.170688,0.176,11013.333333,1,0.000761
YFB,YFB,,63.756401,-68.555801,10,10,20,0.022222,1,8,0.244657,0.256941,34912.467788,1,0.000825
YFC,YFC,,45.8689,-66.537201,4,4,8,1,6,7,0.286494,0.301681,0,9,0.000129
YFO,YFO,,54.678101,-101.681999,3,3,6,1,3,8,0.233791,0.243412,0,1,0.000175
YFS,YFS,,61.760201,-121.236999,1,1,2,0,0,9,0.205443,0.212307,0,1,0.000103
YGK,YGK,,44.2253,-76.596901,1,1,2,0,0,7,0.28218,0.296115,0,9,0.000065
YGL,YGL,,53.625301,-77.704201,3,3,6,0.333333,1,8,0.261288,0.275442,5683.527151,22,0.00018
YGP,YGP,,48.775299,-64.4786,2,2,4,1,1,8,0.238322,0.247655,0,22,0.000122
YGR,YGR,,47.424702,-61.778099,3,3,6,0.666667,2,8,0.238358,0.247867,0.833333,22,0.000168
YHD,YHD,,49.831699,-92.744202,3,4,7,0.333333,2,8,0.221768,0.230339,32.492857,22,0.000253
YHI,YHI,,70.762802,-117.806,3,3,6,0.333333,1,10,0.170651,0.175365,1577.666667,1,0.000308
YHK,YHK,,68.635597,-95.849701,3,3,6,1,3,9,0.20547,0.212625,0,1,0.000234
YHM,YHM,,43.173599,-79.934998,4,4,8,0.5,3,8,0.256917,0.269303,6.882563,9,0.00014
YHU,YHU,,45.517502,-73.416901,4,4,8,0.5,3,8,0.238792,0.248669,28.558947,22,0.000202
YHY,YHY,,60.839699,-115.782997,3,3,6,1,3,8,0.246419,0.257042,0,1,0.000176
YHZ,YHZ,,44.880798,-63.508598,33,28,61,0.261364,138,7,0.316382,0.341971,25136.485848,9,0.000842
YIO,YIO,,72.683296,-77.966698,2,2,4,0,0,10,0.164335,0.168111,0.5,1,0.000221
YJT,YJT,,48.544201,-58.549999,1,1,2,1,1,8,0.233151,0.241654,0,9,0.000111
YKA,YKA,,50.702202,-120.444,3,3,6,1,3,8,0.265766,0.279018,0,9,0.000131
YKF,YKF,,43.4608,-80.378601,2,2,4,1,1,8,0.281776,0.297753,0,9,0.00009
YKL,YKL,,54.805302,-66.805298,4,4,8,0.5,3,8,0.239556,0.249828,122.183975,22,0.000212
YLL,YLL,,53.3092,-110.072998,1,1,2,0,0,8,0.255126,0.266291,0,9,0.000071
YLW,YLW,,49.9561,-119.377998,11,11,22,0.509091,28,7,0.298728,0.315504,670.407054,9,0.000342
YMM,YMM,,56.653301,-111.222,7,7,14,0.52381,11,7,0.294784,0.312219,3201.704052,9,0.000251
YMO,YMO,,51.2911,-80.607803,3,3,6,0,0,8,0.221238,0.228758,12697.57794,22,0.000255
YNA,YNA,,50.189999,-61.7892,3,3,6,0,0,9,0.207624,0.215327,9552.725966,22,0.000289
YOJ,YOJ,,58.621399,-117.165001,2,2,4,1,1,8,0.24588,0.255866,0,9,0.000124
YOW,YOW,,45.322498,-75.669197,26,26,52,0.421538,137,7,0.321651,0.346376,51166.841003,9,0.000682
YPL,YPL,,51.4464,-90.214203,1,1,2,1,1,8,0.221378,0.22891,0,22,0.000161
YPN,YPN,,49.836399,-64.288597,2,2,4,1,1,9,0.207487,0.214835,0,22,0.000157
YPR,YPR,,54.286098,-130.445007,1,1,2,0,0,8,0.264094,0.27658,0,9,0.000072
YPY,YPY,,58.7672,-111.116997,2,2,4,0,0,8,0.228182,0.236181,0.7,1,0.000127
YQB,YQB,,46.7911,-71.393303,18,18,36,0.289474,55,7,0.312829,0.33508,18628.624344,22,0.000651
YQF,YQF,,52.182201,-113.893997,3,3,6,0.666667,2,8,0.255188,0.266662,0.366667,9,0.000128
YQG,YQG,,42.2756,-82.955597,3,3,6,0.333333,1,7,0.283604,0.298418,5.002425,9,0.000115
YQK,YQK,,49.7883,-94.363098,3,3,6,0,0,8,0.234052,0.243889,239.106495,22,0.000189
YQL,YQL,,49.630299,-112.800003,1,1,2,0,0,8,0.255126,0.266291,0,9,0.000071
YQM,YQM,,46.112202,-64.678596,7,7,14,0.714286,15,7,0.291995,0.309501,130.239653,9,0.000192
YQQ,YQQ,,49.7108,-124.887001,4,4,8,0.666667,4,8,0.266328,0.279673,28.100666,9,0.00017
YQR,YQR,,50.4319,-104.666,9,9,18,1,36,7,0.299981,0.319917,0,9,0.000249
YQT,YQT,,48.371899,-89.323898,11,9,20,0.166667,13,7,0.284244,0.300718,63356.674566,22,0.00068
YQU,YQU,,55.179699,-118.885002,2,2,4,1,1,8,0.255644,0.266947,0,9,0.000095
YQX,YQX,,48.936901,-54.5681,3,3,6,1,3,8,0.240691,0.25159,0,9,0.000145
YQY,YQY,,46.1614,-60.047798,2,2,4,1,1,7,0.282585,0.296782,0,9,0.000087
YQZ,YQZ,,53.0261,-122.510002,2,2,4,1,1,8,0.264116,0.276739,0,9,0.000126
YRB,YRB,,74.716904,-94.969398,2,2,4,0,0,10,0.164344,0.1681,3147,1,0.0003
YRT,YRT,,62.811401,-92.115799,10,11,21,0.181818,10,8,0.235417,0.247449,17931.253012,1,0.000681
YSB,YSB,,46.625,-80.798897,5,6,11,0.6,9,7,0.283144,0.297991,20.236398,22,0.000259
YSJ,YSJ,,45.316101,-65.890297,3,3,6,1,3,7,0.285637,0.300776,0,9,0.000107
YSM,YSM,,60.020302,-111.961998,4,4,8,0.5,3,8,0.246438,0.2572,115.154824,1,0.000231
YSY,YSY,,71.993896,-125.242996,2,2,4,1,1,11,0.145829,0.149039,0,1,0.000227
YTE,YTE,,64.230003,-76.526703,2,2,4,0,0,9,0.196627,0.202863,36.51355,1,0.000182
YTH,YTH,,55.801102,-97.864197,6,5,11,0.466667,7,8,0.234505,0.244953,37.2,1,0.000334
YTS,YTS,,48.569698,-81.376701,6,5,11,0.4,6,7,0.283374,0.298245,17157.328973,22,0.000302
YTZ,YTZ,,43.627499,-79.396202,13,13,26,0.294872,23,7,0.292022,0.311134,1861.08218,9,0.000398
YUB,YUB,,69.433296,-133.026001,1,1,2,0,0,11,0.145808,0.148801,0,1,0.00014
YUL,YUL,,45.4706,-73.740799,91,92,183,0.213662,954,7,0.353113,0.391117,143984.934339,9,0.002187
YUT,YUT,,66.5214,-86.224701,3,3,6,0.666667,2,9,0.190603,0.196818,0.583333,1,0.000227
YUX,YUX,,68.7761,-81.2425,2,2,4,1,1,9,0.196603,0.202757,0,1,0.000201
YUY,YUY,,48.2061,-78.835602,3,3,6,0.666667,2,8,0.26131,0.275439,1.660256,9,0.000162
YVM,YVM,,67.545799,-64.031403,1,1,2,0,0,10,0.164309,0.167846,0,1,0.000152
YVO,YVO,,48.053299,-77.782799,5,5,10,0.2,2,8,0.261462,0.27587,6335.441819,9,0.000277
YVP,YVP,,58.0961,-68.426903,9,10,19,0.111111,5,8,0.26229,0.277914,28424.187697,22,0.00067
YVQ,YVQ,,65.281601,-126.797996,4,4,8,0.166667,1,9,0.205644,0.213313,18838.833333,1,0.000377
YVR,YVR,,49.193901,-123.183998,75,75,150,0.196842,561,7,0.358828,0.393196,100891.937208,9,0.002251
YWG,YWG,,49.91,-97.239899,23,23,46,0.27668,70,7,0.305039,0.327544,67976.702995,9,0.00084
YWK,YWK,,52.921902,-66.864403,9,10,19,0.309091,17,8,0.261919,0.277554,3547.07429,22,0.000481
YWL,YWL,,52.183102,-122.054001,2,2,4,1,1,8,0.264116,0.276739,0,9,0.000126
YXC,YXC,,49.610802,-115.781998,3,3,6,1,3,8,0.265744,0.278965,0,9,0.000123
YXE,YXE,,52.170799,-106.699997,9,9,18,1,36,7,0.299981,0.319917,0,9,0.000249
YXH,YXH,,50.018902,-110.721001,1,1,2,0,0,8,0.255126,0.266291,0,9,0.000071
YXJ,YXJ,,56.238098,-120.739998,5,5,10,0.6,6,8,0.266351,0.279832,1326.15423,9,0.000202
YXL,YXL,,50.113899,-91.905296,14,16,30,0.117647,18,8,0.221987,0.232563,38920.532495,22,0.001183
YXP,YXP,,66.144997,-65.7136,2,2,4,0,0,9,0.196603,0.202757,3147,1,0.000247
YXS,YXS,,53.8894,-122.679001,8,8,16,0.392857,11,8,0.265878,0.279812,1165.967115,9,0.000326
YXT,YXT,,54.468498,-128.576009,3,3,6,1,3,8,0.26416,0.276951,0,9,0.000149
YXU,YXU,,43.035599,-81.1539,5,5,10,1,10,7,0.292212,0.309679,0,9,0.000161
YXX,YXX,,49.025299,-122.361,2,2,4,1,1,8,0.255644,0.266947,0,9,0.000095
YXY,YXY,,60.709599,-135.067001,4,4,8,0.8,8,8,0.266915,0.280743,534.92914,9,0.000202
YYB,YYB,,46.363602,-79.422798,2,2,4,1,1,7,0.282231,0.296326,0,22,0.000102
YYC,YYC,,51.113899,-114.019997,60,59,119,0.233898,414,7,0.342472,0.372373,70419.623784,9,0.001671
YYD,YYD,,54.824699,-127.182999,3,3,6,1,3,8,0.26416,0.276951,0,9,0.000149
YYE,YYE,,58.836399,-122.597,3,3,6,0.333333,1,9,0.210442,0.217334,1,9,0.000167
YYF,YYF,,49.4631,-119.601997,1,1,2,0,0,8,0.264094,0.27658,0,9,0.000072
YYG,YYG,,46.290001,-63.121101,3,3,6,1,3,7,0.285637,0.300776,0,9,0.000107
YYH,YYH,,69.5467,-93.576698,3,3,6,1,3,9,0.20547,0.212625,0,1,0.000234
YYJ,YYJ,,48.6469,-123.426002,8,8,16,0.928571,26,7,0.29567,0.313088,2.880747,9,0.000222
YYQ,YYQ,,58.739201,-94.065002,4,4,8,0.666667,4,8,0.23447,0.244635,1499.703565,1,0.000239
YYR,YYR,,53.319199,-60.4258,11,11,22,0.145455,8,8,0.241208,0.253633,23742.511977,22,0.000615
YYT,YYT,,47.618599,-52.7519,12,13,25,0.371795,29,7,0.303978,0.323404,15662.842966,9,0.000435
YYU,YYU,,49.413898,-82.467499,1,2,3,1,1,8,0.221519,0.229055,0,22,0.000134
YYY,YYY,,48.608601,-68.208099,6,6,12,0.733333,11,8,0.26157,0.276294,102.653765,22,0.000251
YYZ,YYZ,,43.6772,-79.6306,146,147,293,0.19206,2061,6,0.393058,0.43489,227093.057191,9,0.003136
YZF,YZF,,62.462799,-114.440002,18,18,36,0.078431,12,8,0.258541,0.273602,60607.353281,1,0.001171
YZP,YZP,,53.254299,-131.813995,1,1,2,0,0,8,0.264094,0.27658,0,9,0.000072
YZR,YZR,,42.999401,-82.308899,1,1,2,0,0,7,0.28218,0.296115,0,9,0.000065
YZT,YZT,,50.680599,-127.366997,2,2,4,0,0,8,0.264138,0.276792,1567.18279,9,0.000139
